"","district","postcode","n","per_of_district","per_of_postcode"
"343","FAIRFIELD","2176",1744,4.21001810500905,10.2963750147597
"344","FAIRFIELD","2198",1430,3.45202172601086,41.5939499709133
"345","GOSFORD","2250",26678,48.8303986528535,58.4813012407383
"346","GOSFORD","2257",15603,28.5591389976937,77.8320945777423
"347","GOSFORD","2256",11079,20.2785811033422,100
"348","GOSFORD","2083",651,1.19156569169382,45.9421312632322
"349","GOSFORD","2775",621,1.13665483032544,34.2715231788079
"350","GOSFORD","2259",2,0.00366072409122524,0.00547975231519535
"351","GOULBURN","2580",21151,39.3902711561383,98.0211326350913
"352","GOULBURN","2577",9771,18.1968861740167,88.3294160188031
"353","GOULBURN","2582",8023,14.9415226460072,98.9028599605523
"354","GOULBURN","2583",4106,7.64675208581645,98.088867654085
"355","GOULBURN","2579",3285,6.11777413587604,100
"356","GOULBURN","2578",2055,3.82710071513707,100
"357","GOULBURN","2581",1972,3.67252681764005,96.1951219512195
"358","GOULBURN","2620",1345,2.5048420738975,4.92115180564195
"359","GOULBURN","2584",594,1.10622765196663,99
"360","GOULBURN","2618",457,0.851087604290822,100
"361","GOULBURN","2575",437,0.813840882002384,4.39859084046301
"362","GOULBURN","2576",263,0.489794398092968,2.72228547769382
"363","GOULBURN","2622",139,0.258864719904648,3.25755800328099
"364","GOULBURN","2621",58,0.108015494636472,1.68899242865463
"365","GOULBURN","2611",39,0.0726311084624553,46.9879518072289
"366","GOULBURN","2727",1,0.00186233611442193,0.292397660818713
"367","GRANVILLE","2160",18550,35.8038988612237,100
"368","GRANVILLE","2161",13244,25.5626326963907,86.9827925916196
"369","GRANVILLE","2145",10087,19.4692144373673,23.5111763746125
"370","GRANVILLE","2142",8274,15.9698899826288,53.0384615384615
"371","GRANVILLE","2164",770,1.48619957537155,5.96390674618542
"372","GRANVILLE","2150",579,1.11754487550666,2.05822757811667
"373","GRANVILLE","2162",306,0.590619571511291,3.56643356643357
"374","HAWKESBURY","2756",19189,38.8677334413612,99.6727612715562
"375","HAWKESBURY","2765",10341,20.9459185740328,39.4092987804878
"376","HAWKESBURY","2753",7699,15.5944905813247,71.4856081708449
"377","HAWKESBURY","2754",4636,9.39031800688677,100
"378","HAWKESBURY","2758",4603,9.32347579501722,97.9778629203917
